CLAVE|DESCRIPCION|DESCRIPCION_BUSQUEDA|LINEA|GRABADO|COLOR|LONGITUD|ANCHO|ESPESOR|PRECIO|INVENTARIO
Z0126|ACRILICO(S) 1.20*2.40 Z01 6.0MM|ACRILICO 120X240 Z01 6MM|ACR|LISO|Z01|2.4|1.2|6|2045|
Z012I|ACRILICO(S) 1.20*2.40 Z01 A.I. 3.0MM|ACRILICO IMPACTA 120X240 Z01 3MM |ACRIMP|LISO|Z01|2.4|1.2|3|1220|
Z013|ACRILICO(S) 1.80*1.80 Z01 3.0MM|ACRILICO 180X180 Z01 3MM|ACR|LISO|Z01|1.8|1.8|3|1190|
Z0134|ACRILICO(S) 1.80*1.80 Z01 4.0MM|ACRILICO 180X180 Z01 4MM|ACR|LISO|Z01|1.8|1.8|4|1540|
Z0136|ACRILICO(S) 1.80*1.80 Z01 6.0MM|ACRILICO 180X180 Z01 6MM|ACR|LISO|Z01|1.8|1.8|6|2300|
Z013I|ACRILICO(S) 1.80*1.80 Z01 A.I. 3.0MM|ACRILICO IMPACTA180X180 Z01 3MM |ACRIMP|LISO|Z01|1.8|1.8|3|1190|
Z014|ACRILICO(S) 1.80*2.40 Z01 3.0MM|ACRILICO 180X240 Z01 3MM|ACR|LISO|Z01|2.4|1.8|3|1590|
Z0144|ACRILICO(S) 1.80*2.40 Z01 4.0MM|ACRILICO 180X240 Z01 4MM|ACR|LISO|Z01|2.4|1.8|4|2050|
Z0145|ACRILICO(S) 1.80*2.40 Z01 5.0MM|ACRILICO 180X240 Z01 5MM|ACR|LISO|Z01|2.4|1.8|5|2530|
Z0146|ACRILICO(S) 1.80*2.40 Z01 6.0MM|ACRILICO 180X240 Z01 6MM|ACR|LISO|Z01|2.4|1.8|6|3070|
Z014AI|ACRILICO(S) 1.80*2.40 Z01 A.I.3.0MM|ACRILICO IMPACTA 180X240 Z01 3MM|ACRIMP|LISO|Z01|2.4|1.8|3|1825|
Z21|ACRILICO(S) 1.20*1.80 Z-2 3.0MM|ACRILICO 120X180 Z2 3MM|ACR|LISO|Z2|1.8|1.2|3|835|
Z214|ACRILICO(S) 1.20*1.80 Z-2 4.0MM|ACRILICO 120X180 Z2 4MM|ACR|LISO|Z2|1.8|1.2|4|1080|
Z215|ACRILICO(S) 1.20*1.80 Z-2 5.0MM|ACRILICO 120X180 Z2 5MM|ACR|LISO|Z2|1.8|1.2|5|1265|
Z216|ACRILICO(S) 1.20*1.80 Z2 6.0MM|ACRILICO 120X180 Z2 6MM|ACR|LISO|Z2|1.8|1.2|6|3220|
Z21I|ACRILICO(S) 1.20*1.80 Z-2 A.I. 3.0MM|ACRILICO IMPACTA 120X180 Z2 3MM |ACRIMP|LISO|Z2|1.8|1.2|3|760|
Z22|ACRILICO(S) 1.20*2.40 Z-2 3.0MM|ACRILICO 120X240 Z2 3MM|ACR|LISO|Z2|2.4|1.2|3|1110|
Z225|ACRILICO(S) 1.20*2.40  Z2 5.0MM|ACRILICO 120X240 Z2 5MM|ACR|LISO|Z2|2.4|1.2|5|1770|
Z226|ACRILICO(S) 1.20*2.40 Z-2 6.0MM|ACRILICO 120X240 Z2 6MM|ACR|LISO|Z2|2.4|1.2|6|2045|
Z22AI|ACRILICO(S) 1.20*2.40 Z-2 A.I. 3.0MM|ACRILICO IMPACTA 120X240 Z2 3MM |ACRIMP|LISO|Z2|2.4|1.2|3|1280|
Z24|ACRILICO(S) 1.80*2.40 Z-2 3.0MM|ACRILICO 180X240 Z2 3MM|ACR|LISO|Z2|2.4|1.8|3|1670|
Z244|ACRILICO(S) 1.80*2.40 Z-2 4.0MM|ACRILICO 180X240 Z2 4MM|ACR|LISO|Z2|2.4|1.8|4|2160|
Z245|ACRILICO(S) 1.80*2.40 Z-2 5.0MM|ACRILICO 180X240 Z2 5MM|ACR|LISO|Z2|2.4|1.8|5|2650|
Z246|ACRILICO(S) 1.80*2.40 Z-2 6.0MM|ACRILICO 180X240 Z2 6MM|ACR|LISO|Z2|2.4|1.8|6|3220|
Z251|ACRILICO(S) 1.20*1.80 Z-25 3.0MM|ACRILICO 120X180 Z25 3MM|ACR|LISO|Z25|1.8|1.2|3|835|
Z252|ACRILICO(S) 1.20*2.40 Z-25 3.0MM|ACRILICO 120X240 Z25 3MM|ACR|LISO|Z25|2.4|1.2|3|1110|
Z25212|ACRILICO(S) 1.20*2.40 Z-25 12.0MM|ACRILICO 120X240 Z25 12MM|ACR|LISO|Z25|2.4|1.2|12|3960|
Z2529|ACRILICO(S) 1.20*2.40 Z-25 9.0MM|ACRILICO 120X240 Z25 9MM|ACR|LISO|Z25|2.4|1.2|9|3960|
Z254|ACRILICO(S) 1.80*2.40 Z-25 3.0MM|ACRILICO 240X180 Z25 3MM|ACR|LISO|Z25Z|2.4|1.8|3|11670|
P538|ARPA AZUL 1.20*1.80|ARPA AZUL 1.20*1.80|PLA|Arpa|AZUL|1.8|1.2|2.8|420|
P537|ARPA AZUL 1.00*1.80|ARPA AZUL 1.00*1.80|PLA|Arpa|AZUL|1.8|1|2.8|350|
P536|ARPA AZUL 0.80*1.80|ARPA AZUL 0.80*1.80|PLA|Arpa|AZUL|1.8|0.8|2.8|381|
P535|ARPA AZUL 0.70*1.80|ARPA AZUL 0.70*1.80|PLA|Arpa|AZUL|1.8|0.7|2.8|245|
P531|ARPA HUMO 1.20*1.80|ARPA HUMO 1.20*1.80|PLA|Arpa|HUMO|1.8|1.2|2.8|420|
P530|ARPA HUMO 1.00*1.80|ARPA HUMO 1.00*1.80|PLA|Arpa|HUMO|1.8|1|2.8|350|
P529|ARPA HUMO 0.80*1.80|ARPA HUMO 0.80*1.80|PLA|Arpa|HUMO|1.8|0.8|2.8|381|
P528|ARPA HUMO 0.70*1.80|ARPA HUMO 0.70*1.80|PLA|Arpa|HUMO|1.8|0.7|2.8|245|
P524|ARPA OPALINO 1.20*1.80|ARPA OPALINO 1.20*1.80|PLA|Arpa|BLANCO|1.8|1.2|2.8|420|
P523|ARPA OPALINO 1.00*1.80|ARPA OPALINO 1.00*1.80|PLA|Arpa|BLANCO|1.8|1|2.8|350|
P522|ARPA OPALINO 0.80*1.80|ARPA OPALINO 0.80*1.80|PLA|Arpa|BLANCO|1.8|0.8|2.8|381|
P521|ARPA OPALINO 0.70*1.80|ARPA OPALINO 0.70*1.80|PLA|Arpa|BLANCO|1.8|0.7|2.8|245|
P517|ARPA CRISTAL 1.20*1.80|ARPA CRISTAL 1.20*1.80|PLA|Arpa|CRISTAL|1.8|1.2|2.8|420|
